publishedAt,title,videoId
2020-04-29T16:48:58Z,#AskMel: How do I stop feeling so overwhelmed?,XuJSpPfJGuM
2020-04-28T17:54:16Z,Coaching with Mel: My husband just told me he wants a divorce,E9hde6GRPwo
2020-04-27T17:40:57Z,Coaching with Mel: How do you change generational patterns?,ivuEvgqnyEA
2020-04-24T16:52:10Z,Coaching with Mel: Why are people I care about being careless?,-NlXiwcefy8
2020-04-23T17:00:41Z,Coaching with Mel: Isolating with my ex,N7bNni06c68
2020-04-22T17:00:53Z,Coaching with Mel: How do I get a job during lockdown?,hligudJnxdg
2020-04-21T17:04:40Z,Coaching with Mel: Is fear running your life?,BgJQHYsCJh0
2020-04-20T17:24:14Z,Coaching with Mel: You need this pep talk,ncviGyR4KZs
2020-04-17T17:11:35Z,Coaching with Mel: The truth about your relationship problems,Ev7MJVgP7j4
2020-04-16T17:19:18Z,Coaching with Mel: Why can't I sleep at night?,J399tmT8XKI
2020-04-15T16:52:58Z,Day 23: How do I stop feeling angry all the time? | Coaching with Mel,P_B3Ghj1uQY
2020-04-14T16:48:18Z,Day 22: Feeling completely unmotivated? You need to hear this | #StayConnected with Mel Robbins,wT91ZtGLHuk
2020-04-13T17:08:04Z,Day 21: Is your kid depressed? | #StayConnected with Mel Robbins,iaErDPZoABs
2020-04-10T17:18:19Z,Day 20: Wish people would stop talking about Covid-19? Try this. | #StayConnected with Mel Robbins,-8ostCN1Ad4
2020-04-09T17:42:48Z,Day 19: Critical Care Nurse in Covid-19 ICU Answers Your Questions | #StayConnected with Mel Robbins,ia2R392GfTw
2020-04-07T17:44:33Z,Day 18: This is why you're having trouble focusing more than ever |  #StayConnected,8CFjFQyfmUU
2020-04-06T18:08:28Z,Day 17: How Your Relationship Can Survive Quarantine | #StayConnected with Mel Robbins & Spirit,MmoY1CgE488
2020-04-03T17:55:37Z,Day 16: How to heal yourself with Holistic Psychologist Dr. Nicole | #StayConnected with Mel Robbins,vua7o_gflfM
2020-04-01T17:31:54Z,Day 15: 3 Ways to Stay Optimistic Right Now | #StayConnected with Mel Robbins,VC59q0n-rGQ
2020-03-31T17:32:09Z,Day 14: Feeling Powerless? Here's One Thing You Can Do  | #StayConnected with Mel Robbins,blExFlIWN_A
2020-03-30T17:23:11Z,"Day 13: Do you feel like you're living in the movie \"Groundhog Day?\" | #StayConnected",Sphqd1hQ1QY
