publishedAt,title,videoId
2024-05-14T19:01:39Z,Did you know this color affects your mood? | Mel Robbins #Shorts,usWhOGwUPGE
2024-05-13T09:00:23Z,6 Simple Science-Backed Hacks That Will Make Your Life Better,ZTacS2ZJfIw
2024-05-12T19:00:20Z,You are meant for more | Mel Robbins #Shorts,VGGaF2uZCl0
2024-05-10T19:00:35Z,What Really Happens To Your Body During Menopause | Mel Robbins #Shorts,zQTdnDWGsNA
2024-05-09T09:00:07Z,How to Balance Your Hormones: What Your Doctor Isn’t Telling You About Menopause,6_B0sZINhU4
2024-05-07T19:00:34Z,STOP Doing This To Look Confident | Mel Robbins #Shorts,z_z_1iwfk4Q
2024-05-07T19:00:08Z,Time is like a melting ice cube | Mel Robbins #Shorts,HacNwpRbAL4
2024-05-05T19:00:06Z,Don’t confuse your free time with being available | Mel Robbins #Shorts,Ku9wVYR0BrE
2024-05-03T19:00:08Z,Do you have high functioning depression? | Mel Robbins #Shorts,GLTXBJeoJr8
2024-05-02T09:00:45Z,#1 Researcher: 7 Signs You May Have High Functioning Depression,yQu-Ct9-6dg
2024-04-30T19:00:09Z,Your weight is not your fault | Mel Robbins #Shorts,LCXO_6kd_3o
2024-04-29T09:00:09Z,5 Small Habits That Will Change Your Life Forever,F71eQ9BGYcw
2024-04-28T19:00:00Z,Embrace the quiet seasons in your life | Mel Robbins #Shorts,1V8Z3NpPhXE
2024-04-26T19:00:01Z,The Secret to Making New Friends | Mel Robbins #Shorts,3ELE-Ix3pmY
2024-04-25T22:48:01Z,Change Your Life in 6 Months: 2 Hour Q&A with Mel Robbins,dITOsAxQDF0
2024-04-25T15:41:02Z,LIVE Coaching with Mel!,vNRvDP5ovBA
2024-04-25T09:00:05Z,How to Read Body Language to Get What You Want: 6 Simple Psychological Tricks to Be More Confident,73SHFFpm4J4
2024-04-25T03:22:49Z,I Never Do This... Late Night Q&A!,_qFwrP0DRBM
2024-04-24T21:10:12Z,Answering Your Questions... Q&A,Pl6Y-XAfY2Y
2024-04-24T14:54:09Z,You Are Meant For More. Watch This,Z6dAD4EVSog
2024-04-23T16:36:39Z,Get Ready To Launch Your Brand New Life,cA86oOOxyeU
2024-04-22T22:54:12Z,It's Time To Start Being Honest With Yourself,MgBD985JKbI
2024-04-22T19:30:03Z,It's NOT too late | Mel Robbins #Shorts,oc7TMM4Fe3g
2024-04-22T09:00:20Z,Understanding This One Idea Changes the Way You See Your Life,JLdcQsJaeyA
2024-04-22T00:54:44Z,Your New Life Is Waiting For You,vs1fdy1zyEg
2024-04-21T19:00:16Z,I can't believe how emotional I am talking about this | Mel Robbins #Shorts,mNvo0LpOsjc
2024-04-21T17:41:15Z,I Want To Show You Something,ceUrw0D6-M4
2024-04-19T19:05:43Z,Your Next Chapter Starts Today,LiJ4PjtpwNA
2024-04-19T19:00:32Z,You CAN change your life | Mel Robbins #Shorts,qSwbcEAM6JU
2024-04-18T19:00:07Z,5 Ways to be happier | Mel Robbins #Shorts,IyNjcET85bQ
2024-04-18T15:44:00Z,No One Is Coming (It's Up To YOU),fAXgU-fcr-Q
2024-04-18T09:00:27Z,How to Build the Life You Want: Timeless Wisdom for More Happiness & Purpose,NGE8BgxEOd4
2024-04-17T19:00:24Z,Exercise and Menopause | Mel Robbins #Shorts,tJoVtqqmoDA
2024-04-17T18:16:11Z,The Path Behind You Is No Longer An Option.,IkqqkecghME
2024-04-16T20:35:40Z,Stop Wishing and Waiting. START Doing!,CS7Lo_UMD1o
2024-04-15T19:00:26Z,Let go of the past | Mel Robbins #Shorts,bO1BcFk2TRA
2024-04-15T09:00:36Z,Why You Care So Much About These 5 Things (and How To Stop),kLb5lRmAA4A
2024-04-14T19:00:13Z,The power of forgiveness | Mel Robbins #Shorts,XJdhI1xtPOs
2024-04-12T19:00:07Z,I started getting natural light every morning | Mel Robbins #Shorts,7rbkALj2NkA
2024-04-11T20:32:10Z,"Don’t Waste Another Year of Your Life, START TODAY!",Fw8SC6IwNlA
2024-04-11T19:00:10Z,Does Stress Cause Belly Fat? | Mel Robbins #Shorts,PUD5wuqieCs
2024-04-11T09:00:31Z,"The #1 Neuroscientist: After Listening to This, Your Brain Will Not Be the Same",Uzt-Woc3CVk
2024-04-10T19:00:00Z,Don't quit | Mel Robbins #Shorts,-3BCg7Ti1XE
2024-04-09T15:30:02Z,The Secret to Unlocking Your Potential & Living the Life You Deserve,9bVUSWKdatc
2024-04-08T16:22:55Z,Ask Yourself THIS 1 Question… | Mel Robbins #Shorts,C3R_GYnMjqg
2024-04-08T09:00:24Z,How to Change Your Life in 6 Months: This One Hack Will Make It Happen,YYwewgQMK-o
2024-04-07T19:00:13Z,There’s only ONE THING you should do right now | Mel Robbins,NaRuB-P3wK0
2024-04-04T19:00:28Z,How To Be Happier | Mel Robbins #Shorts,xAuEPoLZvQk
2024-04-04T09:00:05Z,What Makes a Good Life? Lessons From the Longest Study on Happiness,5jnEizYzQl0
2024-04-03T19:30:04Z,I want to take our relationship to the next level… | Mel Robbins #Shorts,h7jtrCiad6U
2024-04-01T19:00:27Z,This is the sign you need | Mel Robbins #Shorts,bf6aYgfTeOI
2024-04-01T09:00:01Z,3 Ways To Brainwash Yourself for Success & A More Meaningful Life,0oGOUIcTbxs
2024-03-29T19:00:21Z,"Learn how to say, \"that's on you.\" | Mel Robbins #Shorts",lwIIinG_jzc
2024-03-28T19:00:12Z,This ONE Word Is Holding You Back | Mel Robbins #Shorts,GOmNiTmaXX4
2024-03-28T09:00:39Z,How to Speak So That People Listen: #1 Rule for Getting the Support You Need,oMwmcVmsqrg
