publishedAt,title,videoId
2025-02-02T20:30:01Z,How to stop the scary and negative thoughts | Mel Robbins #Shorts,MtAVZueXYfc
2025-01-31T20:30:04Z,Life isn't fair. So now what? | Mel Robbins,YvRIxPjovME
2025-01-30T10:00:11Z,"When Nothing Seems to Be Going Your Way, Here’s Exactly What To Do",ADrkJSpG3V8
2025-01-29T20:30:07Z,Hate your job? Watch this. | Mel Robbins #Shorts,th5P9vTZhsw
2025-01-27T20:30:02Z,I'm going on tour! | Let Them The Tour with Mel Robbins,O4-gsRZE0NY
2025-01-26T20:30:02Z,Pressure won't change anyone | Mel Robbins #Shorts,GUlcl9TVxO4
2025-01-25T10:00:14Z,3 Questions That Determine Who You Really Are,GsAK7h73cdo
2025-01-23T10:01:04Z,How to Find Your Purpose & Design the Life You Want,yZt4ZOy6Z8c
2025-01-22T20:30:02Z,Let Them Unfollow You | Mel Robbins #Shorts,OWLNfQWV4wg
2025-01-21T20:30:12Z,Stop trying to do everything at once | Mel Robbins #Shorts,vCJQkBBjPAM
2025-01-20T10:30:03Z,"If You Struggle With Stress & Anxiety, This Will Change Your Life",6TiJuzF0iD0
2025-01-19T20:30:00Z,What I wish I knew in my 20s | Mel Robbins #Shorts,72yV47U-4rA
2025-01-17T20:30:01Z,Feeling stuck? Do this immediately | Mel Robbins #Shorts,H2lzwYhu3oc
2025-01-16T10:00:22Z,5 Ways to Actually Make Your Habits Stick (Evidence-Based),DPRnrZH6weU
2025-01-15T20:30:06Z,3 Truths you must accept if you want to change your life | Mel Robbins #Shorts,e7E0VPxKXsU
2025-01-14T20:30:00Z,It's 2025 - Stop hitting snooze | Mel Robbins #Shorts,00d7gGWe9BI
2025-01-13T10:00:09Z,Try It For 1 Day: Do This Every Morning to Boost Motivation & Focus,5juT-Oh4zWI
2025-01-10T20:30:07Z,"Stop looking for short cuts, do the boring work | Mel Robbins #Shorts",u5Qj0ZHq5jk
2025-01-09T10:00:11Z,How to Stop Caring What People Think of You,BR-1OeY8BOA
2025-01-08T20:30:06Z,Give the people in your life the benefit of the doubt | Mel Robbins #Shorts,fEhS72teN9s
2025-01-06T10:00:42Z,How to Achieve Any Goal You Have in 6 Simple Steps,fxJjAuG3qkQ
2025-01-05T20:30:00Z,Maybe you don't have social anxiety... | Mel Robbins #Shorts,7fouA9HaRhI
2025-01-03T20:30:03Z,Doctor's Top 4 Metabolism Boosting Hacks | Mel Robbins #Shorts,NknvHLmIRRw
2025-01-02T10:00:26Z,"Eat THIS to Lose Fat, Prevent Disease, & Feel Better Now With Dr. William Li",WSBVq3Wj7Lg
2025-01-01T20:30:05Z,Let Them Judge | Mel Robbins #Shorts,QUzPd6_wxcE
2025-01-01T10:00:00Z,7 Minutes To Start 2025 Right,-4cKtpc9K6I
2024-12-31T20:30:02Z,The shocking truth about exercise and menopause | Mel Robbins #Shorts,W4yMDNRBi-o
2024-12-30T10:00:36Z,8 Habits That Will Change Your Life: The Expert Advice You Need This Year,_5mrZVCEmSE
2024-12-29T22:00:30Z,No Contact: The Power Move After A Break Up | Mel Robbins #Shorts,jBn6zu6cF4c
2024-12-27T20:30:04Z,Maybe you need to do less in 2025 | Mel Robbins #Shorts,Z7mm8W5E4Rw
2024-12-26T10:00:17Z,How to Make Next Year the Best Year: Ask Yourself These 7 Questions,Cm6oJwpuOYc
