publishedAt,title,videoId
2025-10-03T20:30:09Z,The Most Shocking Exercise Study You’ve Never Heard Of | Mel Robbins #Shorts,p6SvzzodDpY
2025-10-02T09:00:29Z,How to Use Your Mind to Heal Your Body With the #1 Harvard Psychologist,DZYFrWZz6lM
2025-10-01T19:30:01Z,You're Not Responsible for Fixing Other People | Mel Robbins #Shorts,5JGZ-H1LhY4
2025-09-30T19:30:01Z,"If you've spent your life trying to fit in, you need to hear this. | Mel Robbins #Shorts",4XrlfcrBSUg
2025-09-29T09:00:10Z,This One Research Study Will Change How You Think About Your Entire Life,asojiVtJ7F0
2025-09-28T19:30:08Z,Stop Explaining Yourself to Everyone | Mel Robbins #Shorts,hLAs5JzjO_0
2025-09-26T19:30:06Z,If People Are Going to Judge You Anyway… Play Big | Mel Robbins #Shorts,Wi3jxXkh0jA
2025-09-25T09:00:23Z,"How to Build the Life You Want (Even When You Feel Overloaded, Exhausted, & Uncertain)",EUJ85tlfybw
2025-09-24T19:30:05Z,Stop Microwaving Food in Plastic | Mel Robbins #Shorts,TCAXkuyw6Is
2025-09-23T19:30:11Z,Every Dollar of Debt Is a Piece of Your Future You Don’t Own | Mel Robbins #Shorts,zDT-bcQTlT8
2025-09-22T08:00:23Z,The Best Financial Advice You’ll Ever Hear,Ai4iNmW2A1c
2025-09-21T19:30:06Z,The Hidden Chemicals in Women’s Products You Need to Know About | Mel Robbins #Shorts,RWcet1uw4AY
2025-09-19T19:30:05Z,I'm going back on tour! The Let Them Tour 2026 | Mel Robbins #Shorts,M5TQpKtTwWQ
2025-09-18T09:00:56Z,The Let Them Theory: How to Take Back Your Peace and Power,c1orPqt6Wr0
2025-09-17T19:30:00Z,The Rule of Thirds - A Mindset That Will Save You | Mel Robbins #Shorts,-F6jM_CCufE
2025-09-15T09:00:56Z,#1 Longevity Doctor: 7 Toxic Products Destroying Your Health,YaaUpw6JZmI
2025-09-14T19:30:05Z,"\"30% of women who break a hip don't make it\" | Mel Robbins #Shorts",RSRW7nmOlc4
2025-09-12T19:30:04Z,The 9-Word Sentence That Stops Anxiety | Mel Robbins #shorts,CWpxbbkSpqY
2025-09-11T09:00:45Z,8 Things To Tell Yourself Every Morning,RLnqVG7Ashc
2025-09-10T19:30:00Z,The truth about the silent treatment | Mel Robbins #Shorts,-ZL4ao5bT64
2025-09-09T19:30:16Z,How Do You Define Happiness? | Mel Robbins #shorts,slLw5ROUUwY
2025-09-08T09:01:25Z,How to Design Your Life (A Full Step-by-Step Process),yKkjU63iAVY
2025-09-07T19:30:07Z,If you're having a hard time at college... | Mel Robbins #Shorts,m9sP0X9y54o
2025-09-05T19:30:00Z,This Is Why You Never Finish Your Tasks | Mel Robbins #Shorts,6gkvE3ZBMls
2025-09-04T09:01:27Z,"How to Get Things Done, Stay Focused, and Be More Productive",x3OA9Q6u9EU
2025-09-03T19:30:01Z,No Siblings Grow Up in the Same Family (with Gabor Maté) | Mel Robbins #Shorts,5EmKnk9h_hM
2025-09-02T19:30:06Z,How you do anything is how you do everything | Mel Robbins #Shorts,Gnby504HlSI
2025-09-01T09:01:07Z,"If You Only Watch One Video Today, Make It This One",jImgnkT-YNM
2025-08-31T19:30:12Z,This Is the #1 Predictor of Happiness | Mel Robbins #Shorts,hSd8X1N_oy8
2025-08-29T19:30:08Z,Stop Making Your Kids Chase Dreams You Gave Up On | Mel Robbins #Shorts,nPmq3KeYOk4
2025-08-28T09:00:33Z,4 Steps to Unlock Your Creativity & Feel More Inspired Every Day,HpreATdUSZA
2025-08-27T19:30:04Z,Being different doesn't mean you're wrong for each other | Mel Robbins #Shorts,fFWdxyGnGuM
2025-08-26T19:30:04Z,What an 88-Year-Old Judge Wants You to Know About Life | Mel Robbins #Shorts,Y3MvBKFzgME
2025-08-25T19:30:06Z,Frank Caprio on What Makes Life Worth Living | Mel Robbins #Shorts,hIEuajsVatA
2025-08-24T19:30:01Z,People Pleasing Is Stealing Your Peace | Mel Robbins #Shorts,Dg12rK2m-ME
2025-08-22T19:30:00Z,The first sign of weight gain isn't what you think | Mel Robbins #Shorts,-03L6VaJq6o
2025-08-21T09:00:14Z,"Do THIS to Boost Your Metabolism, Lose Fat, & Feel Better Now With Dr. William Li",AjwaE0WozfE
2025-08-19T19:30:01Z,This is why so many men are angry | Mel Robbins #Shorts,58-cRZCxmAY
2025-08-18T09:00:02Z,The Real Reason Boys and Men Are Quietly Giving Up & What They Need to Hear,0LM4-TqhiaA
2025-08-17T19:30:03Z,Real friends tell you the truth | Mel Robbins #Shorts,SaCTzw13fr0
2025-08-15T19:30:07Z,Want to be happier? Check your camera roll. | Mel Robbins #Shorts,zxHMEqAqSeA
2025-08-14T09:00:28Z,5 Powerful Questions to Ask Yourself Right Now,KTvI4yUnJjY
2025-08-12T19:30:03Z,Your 20s Aren’t Supposed to Be the Best Years | Mel Robbins #Shorts,RX536ijVDQM
2025-08-11T09:00:05Z,What I Wish I Knew in My 20s,2wSrcr91JYA
2025-08-10T19:30:07Z,Stop letting negative self talk hold you back | Mel Robbins #Shorts,z94g8jaq8M8
2025-08-08T19:30:03Z,Love Isn’t The Hard Part - Growing Together Is | Mel Robbins #Shorts,HdVADESrY4w
