publishedAt,title,videoId
2024-10-27T19:30:02Z,How to finally commit to your goals | Mel Robbins #Shorts,TlGtZpq68qs
2024-10-26T16:59:14Z,Want to be happier? Stop doing this one thing.,CJK5OnhqEpI
2024-10-25T19:30:03Z,Stop judging others - It's destroying your happiness | Mel Robbins #Shorts,m4FqoOAzrOE
2024-10-24T09:00:54Z,#1 Neurosurgeon: How to Manifest Anything You Want & Unlock the Unlimited Power of Your Mind,s-wONyk3RV0
2024-10-23T20:45:01Z,Stop wasting your energy on THIS | Mel Robbins #Shorts,3D8bkjO9Nbw
2024-10-23T13:32:31Z,The tool you need for ANY family situation | Mel Robbins,WW0XanjB7Fw
2024-10-22T14:30:15Z,There is something I need to tell you | Mel Robbins,z0h8bDnTHRw
2024-10-22T09:00:27Z,There’s Something Exciting I Need to Tell You,WTvpI4hTcDM
2024-10-21T21:50:49Z,The secret is OUT - just announced on the Today Show | Mel Robbins,Dc0qxFtnIrY
2024-10-21T09:00:13Z,"Start Strong: Do This Every Morning to Get Out of Bed, Beat Anxiety, and Feel Incredible All Day",71RHa9ml4bM
2024-10-20T19:30:01Z,This is the real meaning of life | Mel Robbins #Shorts,J_Bwdi4pxC8
2024-10-18T19:30:03Z,Psychiatrist reveals SHOCKING truth about “self-care” | Mel Robbins #Shorts,DPv2dAPiZOk
2024-10-17T09:00:50Z,Focus on Yourself: 3 Signs You’re Giving Too Much & What to Do About It Right Now,qXQCn4_u4ZA
2024-10-16T20:58:37Z,The Most Powerful Technique To Manifest Your Dream Life | Mel Robbins #Shorts,8Q6BhV9Di6c
2024-10-15T19:30:00Z,You can't evolve without doing this | Mel Robbins #Shorts,2YrOnTX-dpg
2024-10-14T15:15:04Z,How to handle disrespect | Mel Robbins #Shorts,VyCb8hRdQY8
2024-10-14T15:10:00Z,Is a relationship with a narcissist possible? | Mel Robbins #Shorts,Gfg5E7PzCtM
2024-10-14T09:00:24Z,How To Reset Your Mind for Calm & Control,KXjX0b9B-j4
2024-10-10T09:00:08Z,The Best Way to Deal With Narcissists Without Arguing | The Mel Robbins Podcast,C57vhohpnPA
2024-10-09T19:30:04Z,Stop wasting your life! | Mel Robbins #Shorts,hczk-48mpAE
2024-10-08T19:30:07Z,My biggest regret... I've never shared this | Mel Robbins #Shorts,ijt5DhvyFcU
2024-10-07T17:00:28Z,Neuroscientist reveals shocking link between exercise & change in your brain | Mel Robbins #Shorts,b8UPrhepfeA
2024-10-07T09:00:12Z,How to Learn From Your Mistakes: Let Go of Regret & Move Forward (My Breast Implant Nightmare),GiD4CJVFqUo
2024-10-03T09:00:43Z,Change Your Brain: #1 Neuroscientist’s Exercise Protocol for Peak Energy and Focus,izWRm4-52l4
2024-10-02T19:30:01Z,The Truth About Changing Your Life | Mel Robbins #Shorts,P9BU3FJEKAY
2024-10-01T19:48:13Z,Your thoughts are lying to you | Mel Robbins #Shorts,pL3kUD2g8mE
2024-09-30T09:00:54Z,Simple Life Hacks That Will Change Your Future: Steal These Habits From Billionaires,yxOKIB1s9-g
2024-09-29T19:30:05Z,If you aren't satisfied with your life... | Mel Robbins #Shorts,XHF6RX0LpRs
2024-09-27T19:30:08Z,What to say if someone belittles you | Mel Robbins #Shorts,qEaPkPph_kU
2024-09-26T09:00:36Z,Communicate with Confidence: The Blueprint for Mastering Every Conversation,ZUCB3M_1Qp4
2024-09-25T19:30:05Z,If you're not happy in your relationship... | Mel Robbins #Shorts,pTfSOKdxnPo
2024-09-24T19:30:07Z,The Power of Speaking Less | Mel Robbins #Shorts,sSV_NiUI_5M
