publishedAt,title,videoId
2023-01-06T20:00:12Z,This Is How You Outsmart a Narcissist | Mel Robbins | #Shorts,_m7FfXKmcHE
2023-01-05T10:00:32Z,Goal Setting Toolkit: How to Set the Right Goals For You AND Achieve Them | The Mel Robbins Podcast,sDmzLZnghcg
2023-01-03T20:00:22Z,The Pep Talk YOU NEED Right Now | Mel Robbins #Shorts,kfB1n7jz9hA
2023-01-02T10:00:21Z,The One Science-Backed Habit You Need in 2023 | The Mel Robbins Podcast,sIFnYopQdtc
2022-12-30T20:00:13Z,3 Lessons from the hardest year of my life | Mel Robbins #Shorts,sjq5rhyteWE
2022-12-29T10:00:23Z,"8 Simple, Research-Backed Changes That Will Change Your Life | The Mel Robbins Podcast",iVBqNSzRLys
2022-12-27T20:00:10Z,Why vision boards don’t work (according to science) | Mel Robbins #Shorts,h4XPNq5Y1Ks
2022-12-26T10:00:23Z,3 Lessons From One of the Hardest Years of My Life | The Mel Robbins Podcast,tTVW9ckd89g
2022-12-22T10:00:11Z,A Toolkit for Families: Practical Wisdom That Makes You Closer | Mel Robbins Podcast,RXjHfBcI-XE
2022-12-19T10:00:10Z,This Is The ONE Thing You Should Do This Week | The Mel Robbins Podcast,Pyug7UHnmkU
2022-12-15T16:27:16Z,I Didn’t Expect to Record This: I Want to Talk to You About tWitch’s Death | The Mel Robbins Podcast,RW9ngwtwci0
2022-12-15T10:00:15Z,5 Tools For a Better Brain & 3 Daylight Savings Hacks from Dr. Amen | The Mel Robbins Podcast,bzN77yhhLzw
2022-12-12T10:00:02Z,3 Things You Need to Accept About Other People | The Mel Robbins Podcast,24aTvL9p5wM
2022-12-08T10:00:15Z,Train Your Mind: Understanding Synchronicity Will Change Your Life | Mel Robbins Podcast,exfSl-tWwMM
2022-12-05T10:00:18Z,The Secret to Why You’re Unhappy & The ONE Thing You Can Do About It | The Mel Robbins Podcast,PMMdW3tGWRY
2022-12-01T10:00:08Z,"PSYCHOLOGICAL TRICKS To Boost Your Influence, Income, and Impact TODAY! | The Mel Robbins Podcast",FVmTeH0uK5k
2022-11-28T10:00:30Z,"How Do I Learn to Love Myself, Really? | The Mel Robbins Podcast",Wb9oN1720ws
2022-11-23T10:00:11Z,Why Having FUN is the Secret to a Healthier Life | The Mel Robbins Podcast,KuR0gcRGOuE
2022-11-21T10:00:20Z,This Simple Mind Hack Will Help You Overcome Any Fear,QI_1qWJnvsk
2022-11-17T10:00:31Z,4 Attachment Styles You Need To Know To Create Healthy Relationships | The Mel Robbins Podcast,WNmYDYdgYQo
2022-11-14T10:00:05Z,Manifesting for Beginners: 4 Simple Steps to Manifest Anything You Want | The Mel Robbins Podcast,8uzxTdlHMQM
2022-11-10T10:00:08Z,Your Dreams Are NO Joke: It’s Time to DREAM BIG Again & 3 Ways to Get Started | Mel Robbins Podcast,G_XhrNkJmEg
2022-11-07T10:00:02Z,The POWER of the PAUSE: How to Slow Down and Let Go | The Mel Robbins Podcast,6cztpo-oIVA
2022-11-03T09:00:20Z,The Hidden Signs Someone's In a Narcissistic Relationship  | The Mel Robbins Podcast,NRGxKdNlSDs
2022-10-31T09:00:34Z,LIES About Adult FRIENDSHIP And The TRUTH You Need To Hear | The Mel Robbins Podcast,kxw8vzgswGA
2022-10-27T09:00:30Z,3 Steps To Understanding Your Childhood TRIGGERS And How To Repair Them | The Mel Robbins Podcast,qZ5BoJoUPGg
2022-10-24T09:00:02Z,What To Do If You’re Having a BAD DAY And Don’t Feel Like YOURSELF | The Mel Robbins Podcast,5z0xjtb4_e4
2022-10-20T09:00:03Z,Are You Dealing with a Narcissist? Here’s How to Spot Them | The Mel Robbins Podcast,1gS7uV6Bj0s
