publishedAt,title,videoId
2023-08-11T19:00:33Z,This is the hardest part about making friends as an adult | Mel Robbins #Shorts,fJeZ-aRBVA8
2023-08-10T19:00:09Z,How To Spot A Liar According To A Body Language Expert,BFf8BcOC29c
2023-08-10T09:00:21Z,Be Confident: Use Body Language to Boost Your Influence & Income | Mel Robbins Podcast [ENCORE],Vl8vAJ42R80
2023-08-09T19:00:09Z,How to make your life easier | Mel Robbins #Shorts,N2gOm2Wketk
2023-08-07T19:00:34Z,3 “Micro” Habits That Improve Your Brain From a Psychiatrist EP 90 IG Reel Final,s60wXCaGHOc
2023-08-07T09:00:14Z,"A Better Brain: 3 Habits for Productivity, Memory, and Longevity | Mel Robbins Podcast [ENCORE]",MClMLEfq5Og
2023-08-06T19:00:04Z,An Amazing Way To Look At Love | Mel Robbins #Shorts,9Ky2nLSB2xE
2023-08-04T19:33:00Z,There is no such thing as mixed signals | Mel Robbins #Shorts,sss1eHdu224
2023-08-03T19:00:05Z,My kids just made my husband cry | Mel Robbins #Shorts,4QTWS3hoX1M
2023-08-03T09:00:37Z,5 Easy Tips to Reduce Conflict With the Ones You Love | Mel Robbins Podcast [ENCORE],vYosLcfByvg
2023-07-31T19:00:20Z,You should always take phone calls walking (according to a neuroscientist) | Mel Robbins #Shorts,PUa-87Nkywk
2023-07-31T09:00:15Z,Neuroscientist Reveals The Shocking Science & Benefits of Taking a Simple Walk | Mel Robbins Podcast,MltZxgejfKI
2023-07-30T19:00:29Z,You are destined for MORE | Mel Robbins #Shorts,h7zTkJN8r7o
2023-07-28T19:00:14Z,Start fanning the flame of your dreams TODAY | Mel Robbins #Shorts,L4AfAoWZJJw
2023-07-27T09:00:21Z,How to Hack Your Hormones and Use Science to Lose Weight and Sleep Better | The Mel Robbins Podcast,_jt-924PLJI
2023-07-26T19:00:08Z,3 Kinds of love others can show you | Mel Robbins #Shorts,JR_7ZruGZBU
2023-07-24T09:00:02Z,Understanding Yourself: The #1 Thing You Need To Do To Live an Authentic Life | Mel Robbins Podcast,1klDVUw31ro
2023-07-23T19:00:32Z,Design a life you LOVE | Mel Robbins #Shorts,yx9ggh4g3gQ
2023-07-21T19:00:11Z,This is the fastest way to override your mind | Mel Robbins #Shorts,SFFDuGKHxco
2023-07-20T09:00:35Z,A Masterclass on Dealing with Change: A 3-Step Process | The Mel Robbins Podcast,lUvC-E3YSxE
2023-07-19T19:00:20Z,My Theory On People Who Post #Blessed | Mel Robbins #Shorts,hmDJ4BUrjaE
2023-07-17T09:00:28Z,Mindset Flip: Getting Real About Your Relationship With Alcohol | The Mel Robbins Podcast,rmBj6ngdlLw
2023-07-16T19:00:19Z,Most issues you face in life can be solved with one of these 3 things | Mel Robbins #Shorts,y9usx1Ijwis
2023-07-14T19:15:01Z,Harvard Professor Gives Amazing Advice on Getting Unstuck | Mel Robbins #Shorts,qkVitSbdT_c
2023-07-13T09:00:08Z,Repairing a Broken Relationship: It’s Not Too Late | The Mel Robbins Podcast,HQ_f99U6O9w
2023-07-12T19:00:30Z,Stop trying to change other people | Mel Robbins #Shorts,Z0rwRGezROE
