publishedAt,title,videoId
2024-01-01T20:00:31Z,Do These 3 Things And You'll Sleep Better Every Night | Mel Robbins #Shorts,z_taRto9Aao
2024-01-01T10:00:22Z,8 Small Habits That Will Change Your Life: The Best Expert Advice I’m Using This Year,k9Le6xJ_iQM
2023-12-28T20:00:13Z,These 3 words will help you gain your control back | Mel Robbins #Shorts,cJtrGVNZtTU
2023-12-28T10:00:10Z,4 Important Life Lessons I Learned the Hard Way (So That You Don’t Have To),7u7qdU3sv4w
2023-12-27T20:00:06Z,These are my go-to hacks for getting out of bed in the morning | Mel Robbins #Shorts,Fpp48lwebjI
2023-12-25T20:00:20Z,There's only ONE THING you should do this week | Mel Robbins #Shorts,ZLk4MorCZXQ
2023-12-25T10:00:15Z,"If You Only Listen to One Podcast This Week, Make It This Episode",Dedi-bZJJOE
2023-12-24T20:00:18Z,This is my secret recipe for waking every morning feeling energized | Me Robbins #Shorts,yjdPDWn1HFM
2023-12-22T20:00:02Z,A Simple Way To Be Happier | Mel Robbins #Shorts,ahMM_dHhH1w
2023-12-21T20:00:24Z,Make Your New Years Resolutions Simple. Watch This | Mel Robbins #Shorts,jgJZmKO64tg
2023-12-21T10:00:35Z,How to Make 2024 the Best Year: 6 Questions to Ask Yourself,gn48zmBb1Ek
2023-12-20T20:00:15Z,"When someone is REALLY saying when they say \"That's just the way I am\" | Mel Robbins #Shorts",XioU7FcNRS4
2023-12-18T20:00:15Z,Is Your Partner Pulling Away? This Is Why. | Mel Robbins #Shorts,doKxNgMDF-Q
2023-12-18T10:00:28Z,Daily Meditation: Listen For 21 Days To Reprogram Your Subconscious,vb5AaMIxiEg
2023-12-18T10:00:08Z,Why Do I Love the Way That I Love: The 4 Attachment Styles Explained,GIkspM20BeY
2023-12-17T20:00:12Z,STOP wasting time | Mel Robbins #Shorts,Y_2HEpy_nX8
2023-12-15T20:00:05Z,Enjoy this view with me | Mel Robbins #Shorts,ABvrFC1T2YA
2023-12-14T20:00:19Z,Never lose your keys again! | Mel Robbins #Shorts,z-lX99uTaVk
2023-12-14T10:00:01Z,"Super Brain: 10 Things to Eat, Think, & Do to Improve Your Memory and Learn Faster",25P_j48IYaA
2023-12-13T20:00:11Z,THIS is the meaning of life | Mel Robbins #Shorts,TsHUireMRgc
2023-12-11T20:00:10Z,3 Myths About Procrastination | Mel Robbins #Shorts,YvjYeW0stdU
2023-12-10T20:00:04Z,3 Things you need to let go of | Mel Robbins #Shorts,5olgS8Lynsk
2023-12-08T20:00:22Z,THIS is how to get what you want | Mel Robbins #Shorts,pCaV9kxqZV8
2023-12-07T20:00:20Z,The #1 Mindset Hack You Need for 2024 | Mel Robbins #Shorts,w8JKfA0G47o
2023-12-07T20:00:01Z,"Dr. Ferrari: Mel, You're A Major Procrastinator | Mel Robbins #Shorts",4m_0kjhr1_E
2023-12-07T10:00:35Z,"Boost Your Success in 2024: My Best Advice on Business, Time Management, and Reinvention",hRMFeMuzUKo
2023-12-06T20:00:30Z,Remember what you deserve | Mel Robbins #Shorts,obWTocsMqZo
2023-12-04T20:00:06Z,How to be happier in 2024 | Mel Robbins #Shorts,FBZEAjbaFR8
2023-12-04T10:00:18Z,5 Ways To Improve Your Subconscious Mind & Be Happier in 2024: Amazing Insight From Dr Paul Conti,IIGaYbPSChA
2023-12-03T20:00:18Z,You get one life | Mel Robbins #Shorts,mThfov-RAIw
2023-12-01T20:00:20Z,Start ACTING like the person you want to become | Mel Robbins #Shorts,xZZl45Nuwis
2023-11-30T20:00:09Z,Feeling Bloated? The 4 Day Gut RESET | Mel Robbins #Shorts,ECrH-nkxZMg
2023-11-30T10:00:05Z,Reset Your Gut in 5 Days: A Medical Doctor’s Step-by-Step Protocol to Transform Your Health,2qHhU7Qpmbo
2023-11-29T20:00:11Z,The Best Years of Your Life Are Ahead Of You | Mel Robbins #Shorts,QE3Hnds8n9w
2023-11-27T14:00:25Z,2 Surprising Ways To Reduce Bloating | Mel Robbins #Shorts,Ql7A3xR8158
2023-11-27T10:00:43Z,"The Science of Your Gut: 3 Easy Steps to Reduce Bloating, Improve Digestion, and Feel Better Today",w7xUT5ln7Qk
2023-11-26T20:00:22Z,"Are you having \"one of those days?\" | Mel Robbins #Shorts",eWYra_Y_O6E
2023-11-23T10:00:42Z,4 Surprising Secrets of Successful Relationships (What I Learned From a Fight with My Daughter),l_jqrs9p5lI
2023-11-22T20:00:08Z,You will never feel ready | Mel Robbins #Shorts,E1k71AVTFQU
2023-11-20T20:00:23Z,Narcissism Expert: 3 Types of Narcissists To Avoid | Mel Robbins #Shorts,vG7LV82u9b0
2023-11-20T10:00:19Z,Outsmart a Narcissist: A Proven 4-Step Plan to Take Your Power Back | Mel Robbins Podcast,Wz_1hI7SOT4
2023-11-19T20:00:18Z,Progress isn't made overnight | Mel Robbins #Shorts,bHbNWQCMWwA
2023-11-17T20:00:05Z,My secret to a more meaningful life | Mel Robbins #Shorts,4bL3f2lcPlA
2023-11-16T20:00:00Z,Dr. Sangwan: People Pleasing Is Making You Sick | Mel Robbins #Shorts,-C_qupfEyFw
2023-11-16T10:00:10Z,The Surprising Link Between People Pleasing & Your Health: MD’s Recommendation on How to Say “No”,FbmwWvZEdZw
2023-11-15T20:00:02Z,Stop Caring About What Other People Think | Mel Robbins #Shorts,3sNCL2V0zWk
2023-11-13T20:00:24Z,These 2 Words Improve All Relationships | Mel Robbins #Shorts,YiE0QBkPvRQ
2023-11-13T10:00:29Z,6 Ways to Use My “Let Them” Theory to Improve Any Relationship | The Mel Robbins Podcast,fJIEzxxpHpw
2023-11-12T20:00:12Z,Stop Changing for Others! | Mel Robbins #Shorts,VUbvGTV-nsc
2023-11-10T20:00:10Z,There’s Only One You | Mel Robbins #Shorts,MMZSelUTJ8U
2023-11-09T20:00:12Z,Mom Builds $255M Empire: The Messy Truth | Mel Robbins #Shorts,EEaSqOeWOis
2023-11-09T10:00:11Z,"Stay-At-Home Mom “With No Experience” Built A $255M Empire: Blowouts, Divorces, & The Messy Truth",7Fet5XVpDbk
2023-11-08T20:00:11Z,Stop Avoiding Hard Conversations | Mel Robbins #Shorts,GiUN2jRT_nw
2023-11-06T20:00:18Z,This Teen Cracked The Code On Anxiety | Mel Robbins #Shorts,Vjug8XGgSF4
